n gru grulo gruhi nc24 nc24lo nc24hi deep deeplo deephi
84 5.442326e-02 4.684530e-02 5.442326e-02 1.000000e-08 1.000000e-08 1.000000e-08 2.216237e-02 2.216237e-02 2.690358e-02
86 4.653801e-02 4.653801e-02 8.320126e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.641392e-02 1.641392e-02 3.684392e-02
88 3.967628e-02 3.967628e-02 4.344289e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.697434e-02 1.697434e-02 2.497483e-02
90 3.730553e-02 3.730553e-02 4.738888e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.616015e-02 1.616015e-02 2.638075e-02
92 4.647233e-02 4.647233e-02 5.293620e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.315614e-02 1.315614e-02 2.484339e-02
94 5.670923e-02 5.112375e-02 5.670923e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.384336e-02 1.384336e-02 2.600970e-02
96 9.220356e-02 4.924495e-02 9.220356e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.636903e-02 1.636903e-02 2.377997e-02
98 4.435562e-02 4.435562e-02 6.650231e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.369571e-02 1.369571e-02 2.914738e-02
100 3.258163e-02 3.258163e-02 4.760171e-02 1.000000e-08 1.000000e-08 1.000000e-08 9.622295e-03 9.622295e-03 2.289968e-02
102 5.175589e-02 4.222495e-02 5.175589e-02 1.000000e-08 1.000000e-08 1.000000e-08 8.915097e-03 8.915097e-03 1.858220e-02
104 4.163738e-02 4.163738e-02 5.714526e-02 1.000000e-08 1.000000e-08 1.000000e-08 6.319458e-03 6.319458e-03 1.928622e-02
106 3.692994e-02 3.692994e-02 4.103556e-02 1.000000e-08 1.000000e-08 1.000000e-08 7.127161e-03 7.127161e-03 1.824533e-02
108 3.097902e-02 3.003550e-02 3.555300e-02 1.000000e-08 1.000000e-08 1.000000e-08 3.583173e-03 3.583173e-03 1.235466e-02
110 2.330748e-02 2.330748e-02 4.209758e-02 1.000000e-08 1.000000e-08 1.000000e-08 3.174371e-03 3.174371e-03 1.300415e-02
112 2.672964e-02 2.672964e-02 3.367852e-02 1.000000e-08 1.000000e-08 1.000000e-08 2.469541e-03 2.469541e-03 9.895445e-03
114 2.932175e-02 2.932175e-02 5.037126e-02 1.000000e-08 1.000000e-08 1.000000e-08 2.868241e-03 2.868241e-03 1.229039e-02
116 3.452482e-02 2.508589e-02 5.253740e-02 1.000000e-08 1.000000e-08 1.000000e-08 2.443617e-03 2.443617e-03 8.435572e-03
118 2.518920e-02 2.518920e-02 4.400213e-02 1.000000e-08 1.000000e-08 1.000000e-08 3.178333e-03 3.178333e-03 7.755081e-03
120 2.949748e-02 2.949748e-02 6.237905e-02 1.000000e-08 1.000000e-08 1.000000e-08 2.745345e-03 2.745345e-03 4.864971e-03
122 2.456804e-02 2.456804e-02 4.614748e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.938790e-03 1.938790e-03 5.022553e-03
124 2.170987e-02 2.170987e-02 4.376374e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.590940e-03 1.590940e-03 3.926066e-03
126 2.318189e-02 2.318189e-02 3.589333e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.701524e-03 1.701524e-03 4.586448e-03
128 2.252592e-02 2.252592e-02 2.907946e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.222526e-03 1.222526e-03 3.668128e-03
130 2.379983e-02 2.379983e-02 3.165803e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.147171e-03 1.147171e-03 5.005822e-03
132 2.698251e-02 2.698251e-02 4.165894e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.100137e-03 1.100137e-03 4.343202e-03
134 2.579417e-02 2.579417e-02 7.924402e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.520251e-03 1.520251e-03 4.478479e-03
136 2.168900e-02 2.168900e-02 4.211937e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.281530e-03 1.281530e-03 5.970170e-03
138 1.567752e-02 1.567752e-02 2.985267e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.329780e-03 1.329780e-03 4.008221e-03
140 1.824679e-02 1.824679e-02 3.297633e-02 1.000000e-08 1.000000e-08 1.000000e-08 8.673668e-04 8.673668e-04 2.168658e-03
142 1.794130e-02 1.794130e-02 5.932139e-02 1.000000e-08 1.000000e-08 1.000000e-08 8.900960e-04 8.900960e-04 2.765020e-03
144 1.526431e-02 1.526431e-02 4.259511e-02 1.000000e-08 1.000000e-08 1.000000e-08 7.535865e-04 7.535865e-04 2.711793e-03
146 1.284558e-02 1.284558e-02 3.735875e-02 1.000000e-08 1.000000e-08 1.000000e-08 5.306602e-04 5.306602e-04 1.942599e-03
148 1.485673e-02 1.485673e-02 3.413776e-02 1.000000e-08 1.000000e-08 1.000000e-08 7.278572e-04 7.278572e-04 2.382341e-03
150 1.479467e-02 1.479467e-02 3.406411e-02 1.000000e-08 1.000000e-08 1.000000e-08 7.085701e-04 7.085701e-04 1.836369e-03
152 1.548449e-02 1.548449e-02 2.303419e-02 1.000000e-08 1.000000e-08 1.000000e-08 5.949736e-04 5.949736e-04 1.629121e-03
154 1.311928e-02 1.311928e-02 2.351412e-02 1.000000e-08 1.000000e-08 1.000000e-08 4.175752e-04 4.175752e-04 1.341142e-03
156 2.393172e-02 2.393172e-02 4.412634e-02 1.000000e-08 1.000000e-08 1.000000e-08 3.455679e-04 3.455679e-04 1.036763e-03
158 1.799786e-02 1.799786e-02 3.015275e-02 1.000000e-08 1.000000e-08 1.000000e-08 2.845774e-04 2.845774e-04 8.645008e-04
160 2.208568e-02 1.592883e-02 2.369857e-02 1.000000e-08 1.000000e-08 1.000000e-08 2.361834e-04 2.361834e-04 6.683866e-04
162 2.102710e-02 2.102710e-02 2.487906e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.416802e-04 1.416802e-04 4.484380e-04
164 2.478428e-02 2.478428e-02 4.427462e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.226738e-04 1.226738e-04 4.630685e-04
166 2.258877e-02 2.258877e-02 3.241556e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.015713e-04 1.015713e-04 2.986683e-04
168 2.374711e-02 2.374711e-02 4.558386e-02 1.000000e-08 1.000000e-08 1.000000e-08 8.819500e-05 8.819500e-05 2.928364e-04
170 1.549929e-02 1.549929e-02 2.883783e-02 1.000000e-08 1.000000e-08 1.000000e-08 6.560484e-05 6.560484e-05 1.930694e-04
172 1.474560e-02 1.474560e-02 3.881308e-02 1.000000e-08 1.000000e-08 1.000000e-08 3.121545e-05 3.121545e-05 1.219710e-04
174 1.524126e-02 1.524126e-02 2.420777e-02 1.000000e-08 1.000000e-08 1.000000e-08 2.844135e-05 2.844135e-05 7.379055e-05
176 1.388453e-02 1.388453e-02 3.428854e-02 1.000000e-08 1.000000e-08 1.000000e-08 2.287825e-05 2.287825e-05 4.212062e-05
178 1.133625e-02 1.133625e-02 1.817185e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.192093e-05 1.192093e-05 1.539787e-05
180 9.194712e-03 9.194712e-03 2.369050e-02 1.000000e-08 1.000000e-08 1.000000e-08 7.400910e-06 7.400910e-06 1.037121e-05
182 8.620550e-03 8.620550e-03 2.076775e-02 1.000000e-08 1.000000e-08 1.000000e-08 2.473593e-06 2.473593e-06 4.520019e-06
184 1.120692e-02 1.120692e-02 2.936047e-02 1.000000e-08 1.000000e-08 1.000000e-08 5.910794e-07 5.910794e-07 1.157323e-06
186 1.353903e-02 1.353903e-02 2.972828e-02 1.000000e-08 1.000000e-08 1.000000e-08 3.774961e-07 3.774961e-07 6.655852e-07
188 1.339670e-02 1.339670e-02 2.834103e-02 1.000000e-08 1.000000e-08 1.000000e-08 2.980232e-07 2.185504e-07 3.178914e-07
190 1.263502e-02 1.263502e-02 2.756653e-02 1.000000e-08 1.000000e-08 1.000000e-08 3.526608e-07 3.278255e-07 3.526608e-07
192 1.321604e-02 1.321604e-02 2.349329e-02 1.000000e-08 1.000000e-08 1.000000e-08 2.334515e-07 2.334515e-07 3.129244e-07
194 1.073725e-02 1.073725e-02 1.812469e-02 1.000000e-08 1.000000e-08 1.000000e-08 3.377596e-07 2.384186e-07 3.576279e-07
196 1.015277e-02 1.015277e-02 2.350856e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
198 1.086278e-02 1.086278e-02 3.006170e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
200 9.896219e-03 9.896219e-03 2.640003e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
202 1.154667e-02 1.154667e-02 3.087243e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
