n gru grulo gruhi nc24 nc24lo nc24hi deep deeplo deephi
372 2.261718e-03 2.261718e-03 7.769922e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
374 2.184272e-03 2.184272e-03 8.207967e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
376 2.113044e-03 2.113044e-03 6.969804e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
378 2.049287e-03 2.049287e-03 8.050740e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
380 2.485414e-03 2.485414e-03 7.915069e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
382 1.829994e-03 1.829994e-03 8.090313e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
384 2.166872e-03 2.166872e-03 1.124754e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
386 3.087093e-03 3.087093e-03 1.083976e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
388 2.841920e-03 2.841920e-03 8.879225e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
390 3.671842e-03 3.671842e-03 1.121763e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
392 3.557026e-03 3.557026e-03 9.540528e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
394 3.429333e-03 3.429333e-03 1.004880e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
396 3.765285e-03 3.765285e-03 9.407262e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
398 3.119722e-03 3.119722e-03 8.526291e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
400 2.129123e-03 2.129123e-03 7.224580e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
402 2.189914e-03 2.189914e-03 6.815346e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
404 2.351801e-03 2.351801e-03 8.752356e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
406 2.137472e-03 2.137472e-03 9.501304e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
408 3.129914e-03 3.129914e-03 8.771300e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
410 2.381891e-03 2.381891e-03 9.886339e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
412 2.767066e-03 2.767066e-03 9.602611e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
414 4.377981e-03 4.377981e-03 9.433617e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
416 3.205876e-03 3.205876e-03 1.115824e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
418 2.311240e-03 2.311240e-03 1.186046e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
420 3.369391e-03 3.369391e-03 1.976851e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
422 3.251215e-03 3.251215e-03 1.461639e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
424 2.311568e-03 2.311568e-03 1.021675e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
426 2.140154e-03 2.140154e-03 7.934332e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
428 2.309099e-03 2.309099e-03 1.566189e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
430 1.469254e-03 1.469254e-03 8.407757e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
432 1.255751e-03 1.255751e-03 6.130919e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
434 1.725773e-03 1.725773e-03 7.316291e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
436 1.804739e-03 1.804739e-03 5.863160e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
438 1.882990e-03 1.882990e-03 6.207173e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
440 2.178033e-03 2.178033e-03 6.487377e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
442 1.940812e-03 1.940812e-03 6.598691e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
444 2.024869e-03 2.024869e-03 7.202625e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
446 1.942505e-03 1.942505e-03 8.320905e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
448 1.730631e-03 1.730631e-03 7.415690e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
450 1.899322e-03 1.899322e-03 7.027613e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
452 1.884669e-03 1.884669e-03 7.963876e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
454 3.737360e-03 3.737360e-03 1.234017e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
456 1.998882e-03 1.998882e-03 8.166566e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
458 1.844585e-03 1.844585e-03 6.534924e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
460 1.377573e-03 1.377573e-03 5.482967e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
462 1.833240e-03 1.833240e-03 8.582319e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
464 1.882891e-03 1.882891e-03 7.037818e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
466 1.570597e-03 1.570597e-03 7.307798e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
468 1.462112e-03 1.462112e-03 6.128863e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
470 1.303837e-03 1.303837e-03 5.681217e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
472 1.444004e-03 1.444004e-03 4.761425e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
474 1.949703e-03 1.949703e-03 8.088201e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
476 1.810722e-03 1.810722e-03 6.186865e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
478 1.867702e-03 1.867702e-03 6.163314e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
480 2.274483e-03 2.274483e-03 5.807867e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
482 1.431723e-03 1.431723e-03 4.864668e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
484 1.593401e-03 1.593401e-03 6.030033e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
486 1.686066e-03 1.686066e-03 7.165164e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
488 1.826550e-03 1.826550e-03 7.264311e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
490 1.607791e-03 1.607791e-03 6.199643e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
492 1.599674e-03 1.599674e-03 5.587583e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
494 1.085813e-03 1.085813e-03 4.516790e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
496 1.247913e-03 1.247913e-03 4.954880e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
498 1.340946e-03 1.340946e-03 5.271678e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
500 1.113782e-03 1.113782e-03 5.746546e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
502 1.944847e-03 1.944847e-03 5.859219e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
504 1.323203e-03 1.323203e-03 6.333808e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
506 1.458178e-03 1.458178e-03 5.799992e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
508 1.066774e-03 1.066774e-03 4.589891e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
510 1.631354e-03 1.631354e-03 4.351886e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
512 1.647174e-03 1.647174e-03 6.619439e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
514 1.294315e-03 1.294315e-03 5.519758e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
516 2.019723e-03 2.019723e-03 6.102934e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
518 1.569937e-03 1.569937e-03 5.239358e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
520 2.094775e-03 2.094775e-03 4.699916e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
522 1.511276e-03 1.511276e-03 4.813274e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
524 1.973887e-03 1.973887e-03 6.415516e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
526 1.247048e-03 1.247048e-03 5.873477e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
528 1.340598e-03 1.340598e-03 6.065527e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
530 1.386543e-03 1.386543e-03 6.504983e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
532 1.771087e-03 1.771087e-03 6.109531e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
534 1.266479e-03 1.266479e-03 4.708345e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
536 1.096358e-03 1.096358e-03 5.026703e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
538 1.307040e-03 1.307040e-03 6.856596e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
540 1.331449e-03 1.331449e-03 4.970218e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
542 1.584748e-03 1.584748e-03 5.693155e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
544 1.612961e-03 1.612961e-03 5.784040e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
546 1.278142e-03 1.278142e-03 5.663042e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
548 1.346330e-03 1.346330e-03 7.711252e-03 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
